variant,seed_index,learner_seed,training_seed_start,evaluation_seed_start,training_interactions,frozen_episodes,frozen_return,frozen_action_accuracy,frozen_nll,frozen_brier,frozen_state_unchanged,cup_applied_decisions
memoryless,0,65000,700,1700,510,16,-0.5677083333333333,0.21614583333333334,1.5042588897411207,0.8050368336475701,True,0
memoryless,1,65001,800,1800,510,16,-0.5078124999999998,0.24609375,1.3961688418622475,0.7552228688661448,True,0
memoryless,2,65002,900,1900,510,16,-0.49218749999999983,0.25390625,1.3953321500878466,0.7539518372746669,True,0
memoryless,3,65003,1000,2000,510,16,-0.49739583333333315,0.2513020833333333,1.407759587433417,0.7607224002357572,True,0
memoryless,4,65004,1100,2100,510,16,-0.48958333333333315,0.2552083333333333,1.3887871539584289,0.7512402850293064,True,0
tcp,0,65000,700,1700,510,16,1.0000000000000007,1.0,0.45704295518446486,0.20435893139734196,True,0
tcp,1,65001,800,1800,510,16,1.0000000000000007,1.0,0.7251836916466061,0.39594882108266344,True,0
tcp,2,65002,900,1900,510,16,1.0000000000000007,1.0,0.6496445943990735,0.3688670667885045,True,0
tcp,3,65003,1000,2000,510,16,1.0000000000000007,1.0,0.4171288354738034,0.19639041334084725,True,0
tcp,4,65004,1100,2100,510,16,1.0000000000000007,1.0,0.4765215331528376,0.2316960736377505,True,0
tcp_cup,0,65000,700,1700,510,16,1.0000000000000007,1.0,0.6511900095378844,0.31666945432811716,True,1139
tcp_cup,1,65001,800,1800,510,16,1.0000000000000007,1.0,1.068315541423943,0.5812184816185993,True,1085
tcp_cup,2,65002,900,1900,510,16,1.0000000000000007,1.0,0.6458212862688129,0.36816004704516564,True,315
tcp_cup,3,65003,1000,2000,510,16,1.0000000000000007,1.0,0.8018230458137983,0.412661189830772,True,1059
tcp_cup,4,65004,1100,2100,510,16,1.0000000000000007,1.0,0.44657016719812875,0.2004034269897302,True,279
