variant,seed_index,learner_seed,training_seed_start,evaluation_seed_start,training_interactions,mean_learning_curve_return,last_five_return,final_episode_return,frozen_episodes,frozen_return,frozen_state_unchanged,cup_applied_decisions,active_cup_structure_count
tcp,0,66000,2700,3700,1030,0.11388888888888875,0.5777777777777774,0.8611111111111099,16,0.9999999999999983,True,0,0
tcp,1,66001,2800,,1030,0.355555555555555,0.8111111111111102,0.9999999999999983,0,,,0,0
tcp,2,66002,2900,,1030,0.3499999999999993,0.9222222222222209,0.9999999999999983,0,,,0,0
tcp,3,66003,3000,,1030,0.3805555555555551,0.788888888888888,0.944444444444443,0,,,0,0
tcp,4,66004,3100,,1030,0.21944444444444397,0.688888888888888,0.9166666666666653,0,,,0,0
tcp_cup,0,66000,2700,3700,1030,0.2722222222222217,0.8388888888888879,0.9999999999999983,16,0.9999999999999983,True,2300,2
tcp_cup,1,66001,2800,,1030,0.3583333333333327,0.8222222222222213,0.9999999999999983,0,,,654,1
tcp_cup,2,66002,2900,,1030,0.3722222222222215,0.9444444444444431,0.9999999999999983,0,,,381,1
tcp_cup,3,66003,3000,,1030,0.35833333333333295,0.7444444444444437,0.944444444444443,0,,,609,2
tcp_cup,4,66004,3100,,1030,0.2222222222222218,0.6833333333333325,0.9166666666666653,0,,,649,1
